month,detail
2011/01,myersjustinc had no activity during this period.
2011/02,myersjustinc had no activity during this period.
2011/03,myersjustinc had no activity during this period.
2011/04,myersjustinc had no activity during this period.
2011/05,Joined GitHub
2011/06,myersjustinc had no activity during this period.
2011/07,Created 2 commits in 2 repositories
2011/07,Opened their first issue on GitHub in     albatrossandco/brubeck_cms
2011/08,Created 18 commits in 1 repository
2011/08,Opened 5 other issues in 1 repository
2011/08,Created an issue in albatrossandco/brubeck_cms that received 2 comments
2011/09,myersjustinc had no activity during this period.
2011/10,myersjustinc had no activity during this period.
2011/11,myersjustinc had no activity during this period.
2011/12,myersjustinc had no activity during this period.
2012/01,Created 6 commits in 2 repositories
2012/01,Created their first repository
2012/02,Created an issue in albatrossandco/brubeck_cms that received 2 comments
2012/03,myersjustinc had no activity during this period.
2012/04,"Opened their first pull request on GitHub in   
gangleton/MSIE3000"
2012/05,myersjustinc had no activity during this period.
2012/06,myersjustinc had no activity during this period.
2012/07,myersjustinc had no activity during this period.
2012/08,myersjustinc had no activity during this period.
2012/10,Created 33 commits in 1 repository
2012/10,Created   1  repository
2012/11,Created an issue in Homebrew/legacy-homebrew that received 45 comments
2012/12,myersjustinc had no activity during this period.
2013/01,Created 4 commits in 2 repositories
2013/01,Created   1  repository
2013/01,Created a pull request in wireservice/ffs that received 1 comment
2013/03,Created 1 commit in 1 repository
2013/05,myersjustinc had no activity during this period.
2013/06,myersjustinc had no activity during this period.
2013/07,myersjustinc had no activity during this period.
2013/08,myersjustinc had no activity during this period.
2013/09,Created a pull request in wireservice/ffs that received 1 comment
2013/10,Created 70 commits in 2 repositories
2013/10,Created   1  repository
2013/11,Created an issue in Homebrew/legacy-homebrew that received 6 comments
2013/12,Created 19 commits in 1 repository
2013/12,Created   1  repository
2014/01,Created 10 commits in 1 repository
2014/03,Created 9 commits in 2 repositories
2014/03,Created   1  repository
2014/03,Opened 1  pull request in 1 repository
2014/03,Created an issue in openlawdc/dc-decoded that received 1 comment
2014/04,myersjustinc had no activity during this period.
2014/05,myersjustinc had no activity during this period.
2014/07,Created 1 commit in 1 repository
2014/07,Created   1  repository
2014/08,Created 4 commits in 1 repository
2014/09,Created a pull request in 2factorauth/twofactorauth that received 4 comments
2014/10,Created 10 commits in 1 repository
2014/10,Opened 1  issue in 1 repository
2014/12,Created 3 commits in 1 repository
2015/01,Created 1 commit in 1 repository
2015/02,Created a pull request in ireapps/lightning-talks that received 1 comment
2015/03,Created 58 commits in 3 repositories
2015/03,Created   2  repositories
2015/03,Opened 3 other pull requests in 2 repositories
2015/03,Created a pull request in california-civic-data-coalition/django-calaccess-raw-data that received 12 comments
2015/04,Created 72 commits in 1 repository
2015/04,Created   1  repository
2015/05,Created 5 commits in 1 repository
2015/06,myersjustinc had no activity during this period.
2015/07,Created 5 commits in 2 repositories
2015/07,Created   3  repositories
2015/07,Created a pull request in MinnPost/car-code that received 2 comments
2015/08,Created 22 commits in 4 repositories
2015/08,Created   3  repositories
2015/08,Opened 2  pull requests in 1 repository
2015/08,Opened 1 other issue in 1 repository
2015/08,Created an issue in limpkin/mooltipass that received 6 comments
2015/09,Created a pull request in newsnerdery/newsnerdery that received 1 comment
2015/10,Created 7 commits in 2 repositories
2015/10,Created   1  repository
2018/08,Created 11 commits in 4 repositories
2018/08,Opened 1  pull request in 1 repository
